subject,condition,word,step,sAnswer,rt,trial,pass,phase
AAM02,aam,asee_shstep05,5,1,1010,4,1,Early
AAM02,aam,asee_shstep07,7,0,720,2,1,Early
AAM02,aam,asee_shstep09,9,0,1755,6,1,Early
AAM02,aam,asee_shstep11,11,0,801,5,1,Early
AAM02,aam,asee_shstep13,13,0,2682,3,1,Early
AAM02,aam,asee_shstep15,15,0,881,1,1,Early
AAM02,aam,asee_shstep17,17,0,1840,0,1,Early
AAM02,aam,asee_shstep05,5,1,1238,6,2,Early
AAM02,aam,asee_shstep07,7,1,654,1,2,Early
AAM02,aam,asee_shstep09,9,1,737,3,2,Early
AAM02,aam,asee_shstep11,11,0,684,4,2,Early
AAM02,aam,asee_shstep13,13,0,708,5,2,Early
AAM02,aam,asee_shstep15,15,0,601,2,2,Early
AAM02,aam,asee_shstep17,17,0,713,0,2,Early
AAM02,aam,asee_shstep05,5,1,562,6,3,Early
AAM02,aam,asee_shstep07,7,1,1040,1,3,Early
AAM02,aam,asee_shstep09,9,0,877,3,3,Early
AAM02,aam,asee_shstep11,11,0,604,2,3,Early
AAM02,aam,asee_shstep13,13,0,781,5,3,Early
AAM02,aam,asee_shstep15,15,0,687,0,3,Early
AAM02,aam,asee_shstep17,17,0,732,4,3,Early
AAM02,aam,asee_shstep05,5,1,645,0,4,Early
AAM02,aam,asee_shstep07,7,1,793,5,4,Early
AAM02,aam,asee_shstep09,9,1,997,2,4,Early
AAM02,aam,asee_shstep11,11,0,567,3,4,Early
AAM02,aam,asee_shstep13,13,0,690,1,4,Early
AAM02,aam,asee_shstep15,15,0,579,6,4,Early
AAM02,aam,asee_shstep17,17,0,522,4,4,Early
AAM02,aam,asee_shstep05,5,1,489,4,5,Early
AAM02,aam,asee_shstep07,7,1,1086,0,5,Early
AAM02,aam,asee_shstep09,9,1,652,5,5,Early
AAM02,aam,asee_shstep11,11,0,593,3,5,Early
AAM02,aam,asee_shstep13,13,0,739,6,5,Early
AAM02,aam,asee_shstep15,15,0,488,2,5,Early
AAM02,aam,asee_shstep17,17,0,546,1,5,Early
AAM02,aam,asee_shstep05,5,1,685,1,6,Late
AAM02,aam,asee_shstep07,7,1,683,0,6,Late
AAM02,aam,asee_shstep09,9,1,736,4,6,Late
AAM02,aam,asee_shstep11,11,0,759,3,6,Late
AAM02,aam,asee_shstep13,13,0,648,6,6,Late
AAM02,aam,asee_shstep15,15,0,664,2,6,Late
AAM02,aam,asee_shstep17,17,0,799,5,6,Late
AAM02,aam,asee_shstep05,5,1,1086,2,7,Late
AAM02,aam,asee_shstep07,7,1,631,3,7,Late
AAM02,aam,asee_shstep09,9,1,924,0,7,Late
AAM02,aam,asee_shstep11,11,1,1014,6,7,Late
AAM02,aam,asee_shstep13,13,0,692,5,7,Late
AAM02,aam,asee_shstep15,15,0,664,4,7,Late
AAM02,aam,asee_shstep17,17,0,551,1,7,Late
AAM02,aam,asee_shstep05,5,1,1430,1,8,Late
AAM02,aam,asee_shstep07,7,1,853,4,8,Late
AAM02,aam,asee_shstep09,9,0,1724,2,8,Late
AAM02,aam,asee_shstep11,11,0,792,3,8,Late
AAM02,aam,asee_shstep13,13,0,700,0,8,Late
AAM02,aam,asee_shstep15,15,0,655,5,8,Late
AAM02,aam,asee_shstep17,17,0,743,6,8,Late
AAM02,aam,asee_shstep05,5,1,842,5,9,Late
AAM02,aam,asee_shstep07,7,1,1663,4,9,Late
AAM02,aam,asee_shstep09,9,1,537,2,9,Late
AAM02,aam,asee_shstep11,11,0,658,1,9,Late
AAM02,aam,asee_shstep13,13,0,532,0,9,Late
AAM02,aam,asee_shstep15,15,0,633,6,9,Late
AAM02,aam,asee_shstep17,17,0,680,3,9,Late
AAM02,aam,asee_shstep05,5,1,799,5,10,Late
AAM02,aam,asee_shstep07,7,1,1017,4,10,Late
AAM02,aam,asee_shstep09,9,1,719,2,10,Late
AAM02,aam,asee_shstep11,11,0,650,1,10,Late
AAM02,aam,asee_shstep13,13,0,593,6,10,Late
AAM02,aam,asee_shstep15,15,0,619,3,10,Late
AAM02,aam,asee_shstep17,17,0,579,0,10,Late
AAM03,aam,asee_shstep05,5,1,986,4,1,Early
AAM03,aam,asee_shstep07,7,0,1484,1,1,Early
AAM03,aam,asee_shstep09,9,0,674,6,1,Early
AAM03,aam,asee_shstep11,11,0,615,0,1,Early
AAM03,aam,asee_shstep13,13,0,1095,5,1,Early
AAM03,aam,asee_shstep15,15,0,742,3,1,Early
AAM03,aam,asee_shstep17,17,0,1007,2,1,Early
AAM03,aam,asee_shstep05,5,1,758,1,2,Early
AAM03,aam,asee_shstep07,7,0,649,6,2,Early
AAM03,aam,asee_shstep09,9,0,515,4,2,Early
AAM03,aam,asee_shstep11,11,0,443,3,2,Early
AAM03,aam,asee_shstep13,13,0,520,2,2,Early
AAM03,aam,asee_shstep15,15,0,572,0,2,Early
AAM03,aam,asee_shstep17,17,0,575,5,2,Early
AAM03,aam,asee_shstep05,5,1,977,5,3,Early
AAM03,aam,asee_shstep07,7,1,818,0,3,Early
AAM03,aam,asee_shstep09,9,1,920,2,3,Early
AAM03,aam,asee_shstep11,11,0,698,1,3,Early
AAM03,aam,asee_shstep13,13,0,532,3,3,Early
AAM03,aam,asee_shstep15,15,0,582,4,3,Early
AAM03,aam,asee_shstep17,17,0,580,6,3,Early
AAM03,aam,asee_shstep05,5,1,744,0,4,Early
AAM03,aam,asee_shstep07,7,1,858,6,4,Early
AAM03,aam,asee_shstep09,9,1,784,2,4,Early
AAM03,aam,asee_shstep11,11,1,697,5,4,Early
AAM03,aam,asee_shstep13,13,0,443,4,4,Early
AAM03,aam,asee_shstep15,15,0,525,1,4,Early
AAM03,aam,asee_shstep17,17,0,507,3,4,Early
AAM03,aam,asee_shstep05,5,1,630,2,5,Early
AAM03,aam,asee_shstep07,7,1,711,4,5,Early
AAM03,aam,asee_shstep09,9,1,944,3,5,Early
AAM03,aam,asee_shstep11,11,0,619,1,5,Early
AAM03,aam,asee_shstep13,13,1,1026,0,5,Early
AAM03,aam,asee_shstep15,15,1,305,5,5,Early
AAM03,aam,asee_shstep17,17,0,523,6,5,Early
AAM03,aam,asee_shstep05,5,1,681,2,6,Late
AAM03,aam,asee_shstep07,7,1,714,0,6,Late
AAM03,aam,asee_shstep09,9,1,730,4,6,Late
AAM03,aam,asee_shstep11,11,0,913,5,6,Late
AAM03,aam,asee_shstep13,13,0,687,6,6,Late
AAM03,aam,asee_shstep15,15,0,634,3,6,Late
AAM03,aam,asee_shstep17,17,0,614,1,6,Late
AAM03,aam,asee_shstep05,5,1,612,1,7,Late
AAM03,aam,asee_shstep07,7,1,581,3,7,Late
AAM03,aam,asee_shstep09,9,1,694,5,7,Late
AAM03,aam,asee_shstep11,11,0,648,6,7,Late
AAM03,aam,asee_shstep13,13,0,690,2,7,Late
AAM03,aam,asee_shstep15,15,0,587,0,7,Late
