subject,condition,audio,step,sAnswer,rt,stepRepetition,trial
AAM01,AAM,asee_shstep05,5,1,773,1,4
AAM01,AAM,asee_shstep07,7,0,637,1,2
AAM01,AAM,asee_shstep09,9,0,1521,1,6
AAM01,AAM,asee_shstep11,11,0,734,1,5
AAM01,AAM,asee_shstep13,13,0,1892,1,3
AAM01,AAM,asee_shstep15,15,0,678,1,1
AAM01,AAM,asee_shstep17,17,0,653,1,0
AAM01,AAM,asee_shstep05,5,0,304,2,6
AAM01,AAM,asee_shstep07,7,1,660,2,1
AAM01,AAM,asee_shstep09,9,0,573,2,3
AAM01,AAM,asee_shstep11,11,0,611,2,4
AAM01,AAM,asee_shstep13,13,0,923,2,5
AAM01,AAM,asee_shstep15,15,0,675,2,2
AAM01,AAM,asee_shstep17,17,0,724,2,0
AAM01,AAM,asee_shstep05,5,1,758,3,6
AAM01,AAM,asee_shstep07,7,0,658,3,1
AAM01,AAM,asee_shstep09,9,0,489,3,3
AAM01,AAM,asee_shstep11,11,0,633,3,2
AAM01,AAM,asee_shstep13,13,0,629,3,5
AAM01,AAM,asee_shstep15,15,0,646,3,0
AAM01,AAM,asee_shstep17,17,0,706,3,4
AAM01,AAM,asee_shstep05,5,1,738,4,0
AAM01,AAM,asee_shstep07,7,0,668,4,5
AAM01,AAM,asee_shstep09,9,0,712,4,2
AAM01,AAM,asee_shstep11,11,0,697,4,3
AAM01,AAM,asee_shstep13,13,0,874,4,1
AAM01,AAM,asee_shstep15,15,0,617,4,6
AAM01,AAM,asee_shstep17,17,0,846,4,4
AAM01,AAM,asee_shstep05,5,1,671,5,4
AAM01,AAM,asee_shstep07,7,0,425,5,0
AAM01,AAM,asee_shstep09,9,0,411,5,5
AAM01,AAM,asee_shstep11,11,0,692,5,3
AAM01,AAM,asee_shstep13,13,0,594,5,6
AAM01,AAM,asee_shstep15,15,0,746,5,2
AAM01,AAM,asee_shstep17,17,0,638,5,1
AAM01,AAM,asee_shstep05,5,0,322,6,1
AAM01,AAM,asee_shstep07,7,0,289,6,0
AAM01,AAM,asee_shstep09,9,0,572,6,4
AAM01,AAM,asee_shstep11,11,0,553,6,3
AAM01,AAM,asee_shstep13,13,0,551,6,6
AAM01,AAM,asee_shstep15,15,0,446,6,2
AAM01,AAM,asee_shstep17,17,0,580,6,5
AAM01,AAM,asee_shstep05,5,0,461,7,2
AAM01,AAM,asee_shstep07,7,0,10,7,3
AAM01,AAM,asee_shstep09,9,0,559,7,0
AAM01,AAM,asee_shstep11,11,0,313,7,6
AAM01,AAM,asee_shstep13,13,0,1306,7,5
AAM01,AAM,asee_shstep15,15,0,821,7,4
AAM01,AAM,asee_shstep17,17,0,329,7,1
AAM01,AAM,asee_shstep05,5,0,177,8,1
AAM01,AAM,asee_shstep07,7,0,247,8,4
AAM01,AAM,asee_shstep09,9,0,279,8,2
AAM01,AAM,asee_shstep11,11,0,292,8,3
AAM01,AAM,asee_shstep13,13,0,235,8,0
AAM01,AAM,asee_shstep15,15,0,286,8,5
AAM01,AAM,asee_shstep17,17,0,267,8,6
AAM01,AAM,asee_shstep05,5,0,372,9,5
AAM01,AAM,asee_shstep07,7,0,283,9,4
AAM01,AAM,asee_shstep09,9,0,233,9,2
AAM01,AAM,asee_shstep11,11,0,568,9,1
AAM01,AAM,asee_shstep13,13,0,279,9,0
AAM01,AAM,asee_shstep15,15,0,207,9,6
AAM01,AAM,asee_shstep17,17,0,500,9,3
AAM01,AAM,asee_shstep05,5,0,223,10,5
AAM01,AAM,asee_shstep07,7,0,232,10,4
AAM01,AAM,asee_shstep09,9,0,239,10,2
AAM01,AAM,asee_shstep11,11,0,258,10,1
AAM01,AAM,asee_shstep13,13,0,222,10,6
AAM01,AAM,asee_shstep15,15,0,534,10,3
AAM01,AAM,asee_shstep17,17,0,282,10,0
AAM02,AAM,asee_shstep05,5,1,1010,1,4
AAM02,AAM,asee_shstep07,7,0,720,1,2
AAM02,AAM,asee_shstep09,9,0,1755,1,6
AAM02,AAM,asee_shstep11,11,0,801,1,5
AAM02,AAM,asee_shstep13,13,0,2682,1,3
AAM02,AAM,asee_shstep15,15,0,881,1,1
AAM02,AAM,asee_shstep17,17,0,1840,1,0
AAM02,AAM,asee_shstep05,5,1,1238,2,6
AAM02,AAM,asee_shstep07,7,1,654,2,1
AAM02,AAM,asee_shstep09,9,1,737,2,3
AAM02,AAM,asee_shstep11,11,0,684,2,4
AAM02,AAM,asee_shstep13,13,0,708,2,5
AAM02,AAM,asee_shstep15,15,0,601,2,2
AAM02,AAM,asee_shstep17,17,0,713,2,0
AAM02,AAM,asee_shstep05,5,1,562,3,6
AAM02,AAM,asee_shstep07,7,1,1040,3,1
AAM02,AAM,asee_shstep09,9,0,877,3,3
AAM02,AAM,asee_shstep11,11,0,604,3,2
AAM02,AAM,asee_shstep13,13,0,781,3,5
AAM02,AAM,asee_shstep15,15,0,687,3,0
AAM02,AAM,asee_shstep17,17,0,732,3,4
AAM02,AAM,asee_shstep05,5,1,645,4,0
AAM02,AAM,asee_shstep07,7,1,793,4,5
AAM02,AAM,asee_shstep09,9,1,997,4,2
