subject,condition,word,wordType,grammarType,trial,nounAnswer,nounAnswer2,rt
AAM02,aam,acerbicstep12,critical,notnoun,84,0,notnoun,1791
AAM02,aam,alone,filler,notnoun,55,0,notnoun,1302
AAM02,aam,america,filler,noun,48,1,noun,1593
AAM02,aam,anemia,filler,noun,1,0,notnoun,1082
AAM02,aam,animal,filler,noun,59,1,noun,686
AAM02,aam,annoying,filler,notnoun,24,0,notnoun,873
AAM02,aam,appear,filler,notnoun,88,0,notnoun,932
AAM02,aam,around,filler,notnoun,82,0,notnoun,811
AAM02,aam,avenue,filler,noun,32,0,notnoun,1747
AAM02,aam,bakery,filler,noun,57,1,noun,855
AAM02,aam,ballerina,filler,noun,21,1,noun,717
AAM02,aam,basementstep11,critical,noun,25,1,noun,746
AAM02,aam,beauty,filler,noun,4,0,notnoun,2411
AAM02,aam,become,filler,notnoun,13,0,notnoun,1631
AAM02,aam,brain,filler,noun,69,1,noun,1239
AAM02,aam,camera,filler,noun,6,1,noun,788
AAM02,aam,casserolestep12,critical,noun,86,1,noun,1182
AAM02,aam,ciderstep9,critical,noun,94,0,notnoun,1965
AAM02,aam,degree,filler,noun,30,1,noun,1555
AAM02,aam,depend,filler,notnoun,76,0,notnoun,2010
AAM02,aam,develop,filler,notnoun,81,0,notnoun,1084
AAM02,aam,document,filler,noun,20,1,noun,2175
AAM02,aam,dragon,filler,noun,99,1,noun,865
AAM02,aam,embody,filler,notnoun,75,0,notnoun,1137
AAM02,aam,energy,filler,noun,58,0,notnoun,922
AAM02,aam,engine,filler,noun,70,1,noun,967
AAM02,aam,enroll,filler,notnoun,80,0,notnoun,911
AAM02,aam,eternal,filler,notnoun,78,0,notnoun,1209
AAM02,aam,evolve,filler,notnoun,15,0,notnoun,1152
AAM02,aam,failure,filler,noun,33,0,notnoun,1393
AAM02,aam,family,filler,noun,27,1,noun,1031
AAM02,aam,felony,filler,noun,74,0,notnoun,1068
AAM02,aam,freeze,filler,notnoun,98,0,notnoun,1449
AAM02,aam,fumble,filler,notnoun,42,0,notnoun,1223
AAM02,aam,garden,filler,noun,68,1,noun,1230
AAM02,aam,gasolinestep11,critical,noun,3,1,noun,800
AAM02,aam,global,filler,notnoun,89,0,notnoun,1700
AAM02,aam,grapple,filler,notnoun,23,0,notnoun,2184
AAM02,aam,guilty,filler,notnoun,38,0,notnoun,888
AAM02,aam,gullible,filler,notnoun,47,0,notnoun,648
AAM02,aam,hamburger,filler,noun,14,1,noun,966
AAM02,aam,harmful,filler,notnoun,37,0,notnoun,1111
AAM02,aam,hidden,filler,notnoun,60,0,notnoun,1154
AAM02,aam,honeymoon,filler,noun,65,0,notnoun,1290
AAM02,aam,human,filler,noun,17,1,noun,703
AAM02,aam,ignore,filler,notnoun,29,0,notnoun,818
AAM02,aam,image,filler,noun,73,1,noun,973
AAM02,aam,immoral,filler,notnoun,9,0,notnoun,1006
AAM02,aam,immune,filler,notnoun,92,0,notnoun,2511
AAM02,aam,ironic,filler,notnoun,45,0,notnoun,1044
AAM02,aam,kidnap,filler,notnoun,31,0,notnoun,1005
AAM02,aam,lawyer,filler,noun,2,1,noun,917
AAM02,aam,lunatic,filler,notnoun,83,1,noun,1828
AAM02,aam,manually,filler,notnoun,96,0,notnoun,1082
AAM02,aam,marina,filler,noun,44,1,noun,1095
AAM02,aam,military,filler,noun,35,1,noun,910
AAM02,aam,mineral,filler,noun,52,1,noun,979
AAM02,aam,momentary,filler,notnoun,28,0,notnoun,1468
AAM02,aam,occupy,filler,notnoun,46,0,notnoun,1118
AAM02,aam,omelet,filler,noun,19,1,noun,977
AAM02,aam,opaque,filler,notnoun,62,0,notnoun,1575
AAM02,aam,orbital,filler,notnoun,67,0,notnoun,914
AAM02,aam,overcome,filler,notnoun,93,0,notnoun,960
AAM02,aam,parable,filler,noun,56,0,notnoun,1560
AAM02,aam,parrot,filler,noun,5,1,noun,794
AAM02,aam,pineapple,filler,noun,7,1,noun,935
AAM02,aam,recovery,filler,noun,39,0,notnoun,1235
AAM02,aam,regular,filler,notnoun,54,0,notnoun,1883
AAM02,aam,relate,filler,notnoun,90,0,notnoun,1298
AAM02,aam,remedial,filler,notnoun,49,0,notnoun,1280
AAM02,aam,remind,filler,notnoun,18,0,notnoun,947
AAM02,aam,romantic,filler,notnoun,79,0,notnoun,1144
AAM02,aam,royalty,filler,noun,72,1,noun,2082
AAM02,aam,sabrestep10,critical,noun,50,0,notnoun,2250
AAM02,aam,saltystep14,critical,notnoun,34,0,notnoun,1586
AAM02,aam,sandalstep11,critical,noun,11,1,noun,1005
AAM02,aam,seaweedstep12,critical,noun,16,1,noun,1250
AAM02,aam,secludedstep10,critical,notnoun,0,0,notnoun,1227
AAM02,aam,secondstep11,critical,noun,51,0,notnoun,1308
AAM02,aam,severalstep9,critical,notnoun,36,0,notnoun,1487
AAM02,aam,sidewalkstep8,critical,noun,8,1,noun,2129
AAM02,aam,silverstep10,critical,noun,26,1,noun,943
AAM02,aam,similarstep10,critical,notnoun,12,0,notnoun,1422
AAM02,aam,solidstep12,critical,notnoun,53,1,noun,1319
AAM02,aam,submarinestep10,critical,noun,22,1,noun,1429
AAM02,aam,sufferstep8,critical,notnoun,97,0,notnoun,946
AAM02,aam,superpowerstep12,critical,noun,41,0,notnoun,1210
AAM02,aam,surrenderstep8,critical,notnoun,43,0,notnoun,923
AAM02,aam,tobacco,filler,noun,77,1,noun,1043
AAM02,aam,totally,filler,notnoun,91,0,notnoun,1295
AAM02,aam,tutorial,filler,noun,85,0,notnoun,991
AAM02,aam,typical,filler,notnoun,95,0,notnoun,758
AAM02,aam,umbrella,filler,noun,66,1,noun,771
AAM02,aam,unique,filler,notnoun,61,0,notnoun,1267
AAM02,aam,vibrant,filler,notnoun,87,0,notnoun,984
AAM02,aam,warrantee,filler,noun,71,1,noun,1813
AAM02,aam,weekly,filler,notnoun,64,0,notnoun,1020
AAM02,aam,wrinkle,filler,noun,40,0,notnoun,922
AAM02,aam,yell,filler,notnoun,63,1,noun,1054
AAM02,aam,yoghurt,filler,noun,10,1,noun,1172
AAM03,aam,acerbicstep12,critical,notnoun,51,0,notnoun,1821
AAM03,aam,alone,filler,notnoun,81,0,notnoun,1555
AAM03,aam,america,filler,noun,87,1,noun,1353
AAM03,aam,anemia,filler,noun,67,1,noun,1631
AAM03,aam,animal,filler,noun,29,1,noun,969
AAM03,aam,annoying,filler,notnoun,79,0,notnoun,1040
AAM03,aam,appear,filler,notnoun,2,0,notnoun,1355
AAM03,aam,around,filler,notnoun,19,1,noun,1444
AAM03,aam,avenue,filler,noun,78,1,noun,1695
AAM03,aam,bakery,filler,noun,96,1,noun,831
AAM03,aam,ballerina,filler,noun,43,1,noun,845
AAM03,aam,basementstep11,critical,noun,18,1,noun,953
AAM03,aam,beauty,filler,noun,59,0,notnoun,984
AAM03,aam,become,filler,notnoun,73,0,notnoun,1252
AAM03,aam,brain,filler,noun,0,1,noun,1004
AAM03,aam,camera,filler,noun,26,1,noun,945
AAM03,aam,casserolestep12,critical,noun,54,1,noun,1179
AAM03,aam,ciderstep9,critical,noun,4,1,noun,1057
AAM03,aam,degree,filler,noun,23,1,noun,1311
AAM03,aam,depend,filler,notnoun,58,0,notnoun,1657
AAM03,aam,develop,filler,notnoun,25,0,notnoun,1169
AAM03,aam,document,filler,noun,11,1,noun,1062
AAM03,aam,dragon,filler,noun,92,1,noun,1323
AAM03,aam,embody,filler,notnoun,80,0,notnoun,1413
AAM03,aam,energy,filler,noun,30,1,noun,1520
AAM03,aam,engine,filler,noun,72,1,noun,1235
AAM03,aam,enroll,filler,notnoun,22,0,notnoun,1244
AAM03,aam,eternal,filler,notnoun,33,0,notnoun,1200
AAM03,aam,evolve,filler,notnoun,13,0,notnoun,1549
AAM03,aam,failure,filler,noun,49,1,noun,1225
AAM03,aam,family,filler,noun,5,1,noun,1097
AAM03,aam,felony,filler,noun,3,1,noun,1788
AAM03,aam,freeze,filler,notnoun,36,0,notnoun,1916
AAM03,aam,fumble,filler,notnoun,60,0,notnoun,1046
AAM03,aam,garden,filler,noun,32,1,noun,1444
AAM03,aam,gasolinestep11,critical,noun,82,1,noun,1174
AAM03,aam,global,filler,notnoun,8,0,notnoun,1406
AAM03,aam,grapple,filler,notnoun,50,0,notnoun,1819
AAM03,aam,guilty,filler,notnoun,56,0,notnoun,1474
AAM03,aam,gullible,filler,notnoun,93,0,notnoun,902
AAM03,aam,hamburger,filler,noun,46,1,noun,1046
AAM03,aam,harmful,filler,notnoun,68,0,notnoun,2058
AAM03,aam,hidden,filler,notnoun,52,1,noun,1755
AAM03,aam,honeymoon,filler,noun,94,1,noun,1452
AAM03,aam,human,filler,noun,6,1,noun,1503
AAM03,aam,ignore,filler,notnoun,75,0,notnoun,1036
AAM03,aam,image,filler,noun,66,1,noun,968
AAM03,aam,immoral,filler,notnoun,70,0,notnoun,1547
AAM03,aam,immune,filler,notnoun,48,0,notnoun,2431
AAM03,aam,ironic,filler,notnoun,44,0,notnoun,1594
AAM03,aam,kidnap,filler,notnoun,12,0,notnoun,1469
AAM03,aam,lawyer,filler,noun,55,1,noun,1142
AAM03,aam,lunatic,filler,notnoun,90,1,noun,1282
AAM03,aam,manually,filler,notnoun,77,0,notnoun,1263
AAM03,aam,marina,filler,noun,63,0,notnoun,1396
AAM03,aam,military,filler,noun,1,1,noun,1008
AAM03,aam,mineral,filler,noun,35,1,noun,1005
AAM03,aam,momentary,filler,notnoun,97,0,notnoun,1519
AAM03,aam,occupy,filler,notnoun,47,0,notnoun,1638
AAM03,aam,omelet,filler,noun,27,1,noun,836
AAM03,aam,opaque,filler,notnoun,85,0,notnoun,1409
AAM03,aam,orbital,filler,notnoun,37,1,noun,1488
AAM03,aam,overcome,filler,notnoun,76,0,notnoun,1427
AAM03,aam,parable,filler,noun,99,0,notnoun,1248
AAM03,aam,parrot,filler,noun,31,1,noun,846
AAM03,aam,pineapple,filler,noun,34,1,noun,1361
AAM03,aam,recovery,filler,noun,28,1,noun,2390
AAM03,aam,regular,filler,notnoun,88,0,notnoun,1427
AAM03,aam,relate,filler,notnoun,17,0,notnoun,1285
AAM03,aam,remedial,filler,notnoun,71,0,notnoun,1317
AAM03,aam,remind,filler,notnoun,61,0,notnoun,937
AAM03,aam,romantic,filler,notnoun,40,0,notnoun,1295
AAM03,aam,royalty,filler,noun,7,1,noun,1835
AAM03,aam,sabrestep10,critical,noun,39,0,notnoun,2137
AAM03,aam,saltystep14,critical,notnoun,62,0,notnoun,1325
AAM03,aam,sandalstep11,critical,noun,83,1,noun,1495
AAM03,aam,seaweedstep12,critical,noun,9,1,noun,1255
AAM03,aam,secludedstep10,critical,notnoun,57,0,notnoun,1939
AAM03,aam,secondstep11,critical,noun,98,0,notnoun,1471
AAM03,aam,severalstep9,critical,notnoun,45,0,notnoun,1848
AAM03,aam,sidewalkstep8,critical,noun,38,1,noun,1276
AAM03,aam,silverstep10,critical,noun,89,1,noun,1139
AAM03,aam,similarstep10,critical,notnoun,69,0,notnoun,1276
AAM03,aam,solidstep12,critical,notnoun,84,0,notnoun,1586
AAM03,aam,submarinestep10,critical,noun,14,1,noun,1083
AAM03,aam,sufferstep8,critical,notnoun,21,0,notnoun,1203
AAM03,aam,surrenderstep8,critical,notnoun,53,0,notnoun,1122
AAM03,aam,tobacco,filler,noun,64,1,noun,1222
AAM03,aam,totally,filler,notnoun,15,0,notnoun,1073
AAM03,aam,tutorial,filler,noun,41,1,noun,1491
AAM03,aam,typical,filler,notnoun,42,0,notnoun,1062
AAM03,aam,umbrella,filler,noun,10,1,noun,1018
AAM03,aam,unique,filler,notnoun,74,0,notnoun,1414
AAM03,aam,vibrant,filler,notnoun,16,0,notnoun,1298
AAM03,aam,warrantee,filler,noun,65,1,noun,1689
AAM03,aam,weekly,filler,notnoun,86,0,notnoun,1609
AAM03,aam,wrinkle,filler,noun,24,0,notnoun,1033
AAM03,aam,yell,filler,notnoun,91,1,noun,1309
AAM03,aam,yoghurt,filler,noun,95,1,noun,904
AAM04,aam,acerbicstep12,critical,notnoun,51,0,notnoun,1159
AAM04,aam,alone,filler,notnoun,81,0,notnoun,1254
