subject,condition,word,step,sAnswer,rt,trial,pass,phase
Subject001,bam,asee_shstep7.wav,7,1,1219,58,8,Late
Subject001,bam,asee_shstep7.wav,7,1,1277,37,5,Early
Subject001,bam,asee_shstep7.wav,7,1,910,40,6,Late
Subject001,bam,asee_shstep7.wav,7,1,1264,55,7,Late
Subject001,bam,asee_shstep5.wav,5,1,950,65,9,Late
Subject001,bam,asee_shstep5.wav,5,1,1077,66,10,Late
Subject001,bam,asee_shstep7.wav,7,1,2309,1,1,Early
Subject001,bam,asee_shstep7.wav,7,1,1501,2,2,Early
Subject001,bam,asee_shstep7.wav,7,1,1879,21,3,Early
Subject001,bam,asee_shstep7.wav,7,1,1175,26,4,Early
Subject001,bam,asee_shstep5.wav,5,1,1864,17,1,Early
Subject001,bam,asee_shstep5.wav,5,0,1122,19,2,Early
Subject001,bam,asee_shstep5.wav,5,1,1168,23,3,Early
Subject001,bam,asee_shstep5.wav,5,1,1450,25,4,Early
Subject001,bam,asee_shstep5.wav,5,1,983,29,5,Early
Subject001,bam,asee_shstep5.wav,5,1,1112,44,6,Late
Subject001,bam,asee_shstep5.wav,5,1,1139,45,7,Late
Subject001,bam,asee_shstep5.wav,5,1,1123,54,8,Late
Subject001,bam,asee_shstep13.wav,13,1,1014,57,8,Late
Subject001,bam,asee_shstep13.wav,13,0,1012,67,9,Late
Subject001,bam,asee_shstep13.wav,13,0,932,69,10,Late
Subject001,bam,asee_shstep15.wav,15,0,2487,5,1,Early
Subject001,bam,asee_shstep15.wav,15,1,1900,6,2,Early
Subject001,bam,asee_shstep15.wav,15,0,2049,22,3,Early
Subject001,bam,asee_shstep15.wav,15,0,1529,28,4,Early
Subject001,bam,asee_shstep15.wav,15,0,1554,30,5,Early
Subject001,bam,asee_shstep15.wav,15,0,1504,34,6,Late
Subject001,bam,asee_shstep15.wav,15,1,1496,43,7,Late
Subject001,bam,asee_shstep15.wav,15,0,1171,46,8,Late
Subject001,bam,asee_shstep7.wav,7,1,957,60,9,Late
Subject001,bam,asee_shstep7.wav,7,1,988,68,10,Late
Subject001,bam,asee_shstep9.wav,9,0,2162,4,1,Early
Subject001,bam,asee_shstep9.wav,9,0,1284,7,2,Early
Subject001,bam,asee_shstep9.wav,9,0,1069,18,3,Early
Subject001,bam,asee_shstep9.wav,9,1,1394,20,4,Early
Subject001,bam,asee_shstep9.wav,9,0,3683,24,5,Early
Subject001,bam,asee_shstep9.wav,9,1,1143,38,6,Late
Subject001,bam,asee_shstep9.wav,9,1,1159,42,7,Late
Subject001,bam,asee_shstep9.wav,9,0,1238,49,8,Late
Subject001,bam,asee_shstep9.wav,9,1,966,62,9,Late
Subject001,bam,asee_shstep9.wav,9,1,1189,63,10,Late
Subject001,bam,asee_shstep11.wav,11,1,4028,0,1,Early
Subject001,bam,asee_shstep11.wav,11,0,2138,8,2,Early
Subject001,bam,asee_shstep11.wav,11,0,1280,9,3,Early
Subject001,bam,asee_shstep11.wav,11,0,1647,14,4,Early
Subject001,bam,asee_shstep11.wav,11,1,1852,31,5,Early
Subject001,bam,asee_shstep11.wav,11,1,1597,36,6,Late
Subject001,bam,asee_shstep11.wav,11,0,903,47,7,Late
Subject001,bam,asee_shstep11.wav,11,0,1187,50,8,Late
Subject001,bam,asee_shstep11.wav,11,0,1189,53,9,Late
Subject001,bam,asee_shstep11.wav,11,0,1002,64,10,Late
Subject001,bam,asee_shstep13.wav,13,0,1640,11,1,Early
Subject001,bam,asee_shstep13.wav,13,0,2021,12,2,Early
Subject001,bam,asee_shstep13.wav,13,0,1541,13,3,Early
Subject001,bam,asee_shstep13.wav,13,0,1005,16,4,Early
Subject001,bam,asee_shstep13.wav,13,1,1182,27,5,Early
Subject001,bam,asee_shstep13.wav,13,0,1306,32,6,Late
Subject001,bam,asee_shstep13.wav,13,1,1112,41,7,Late
Subject001,bam,asee_shstep17.wav,17,0,2151,3,1,Early
Subject001,bam,asee_shstep17.wav,17,0,2208,10,2,Early
Subject001,bam,asee_shstep17.wav,17,0,1321,15,3,Early
Subject001,bam,asee_shstep17.wav,17,0,1204,33,4,Early
Subject001,bam,asee_shstep17.wav,17,1,2306,35,5,Early
Subject001,bam,asee_shstep17.wav,17,0,1034,39,6,Late
Subject001,bam,asee_shstep17.wav,17,0,1078,51,7,Late
Subject001,bam,asee_shstep17.wav,17,0,1037,56,8,Late
Subject001,bam,asee_shstep17.wav,17,0,915,59,9,Late
Subject001,bam,asee_shstep17.wav,17,0,850,61,10,Late
Subject001,bam,asee_shstep15.wav,15,0,951,48,9,Late
Subject001,bam,asee_shstep15.wav,15,0,816,52,10,Late
Subject002,aam,asee_shstep9.wav,9,1,897,63,9,Late
Subject002,aam,asee_shstep7.wav,7,1,721,60,9,Late
Subject002,aam,asee_shstep7.wav,7,1,627,64,10,Late
Subject002,aam,asee_shstep9.wav,9,1,926,17,1,Early
Subject002,aam,asee_shstep9.wav,9,1,815,30,2,Early
Subject002,aam,asee_shstep9.wav,9,1,827,32,3,Early
Subject002,aam,asee_shstep9.wav,9,1,858,33,4,Early
Subject002,aam,asee_shstep9.wav,9,0,887,38,5,Early
Subject002,aam,asee_shstep9.wav,9,1,782,43,6,Late
Subject002,aam,asee_shstep9.wav,9,1,806,46,7,Late
Subject002,aam,asee_shstep9.wav,9,1,607,62,8,Late
Subject002,aam,asee_shstep13.wav,13,0,745,3,2,Early
Subject002,aam,asee_shstep13.wav,13,0,649,5,3,Early
Subject002,aam,asee_shstep13.wav,13,1,1222,13,4,Early
Subject002,aam,asee_shstep13.wav,13,0,801,15,5,Early
Subject002,aam,asee_shstep13.wav,13,0,711,16,6,Late
Subject002,aam,asee_shstep13.wav,13,1,672,20,7,Late
Subject002,aam,asee_shstep13.wav,13,0,761,39,8,Late
Subject002,aam,asee_shstep13.wav,13,0,782,44,9,Late
Subject002,aam,asee_shstep13.wav,13,1,696,56,10,Late
Subject002,aam,asee_shstep15.wav,15,0,762,4,1,Early
Subject002,aam,asee_shstep15.wav,15,0,790,8,2,Early
Subject002,aam,asee_shstep15.wav,15,0,818,18,3,Early
Subject002,aam,asee_shstep15.wav,15,0,865,29,4,Early
Subject002,aam,asee_shstep15.wav,15,0,816,31,5,Early
Subject002,aam,asee_shstep15.wav,15,0,1561,42,6,Late
Subject002,aam,asee_shstep15.wav,15,0,706,50,7,Late
Subject002,aam,asee_shstep15.wav,15,0,1663,53,8,Late
Subject002,aam,asee_shstep15.wav,15,0,689,57,9,Late
Subject002,aam,asee_shstep15.wav,15,0,632,66,10,Late
Subject002,aam,asee_shstep17.wav,17,0,761,1,1,Early
Subject002,aam,asee_shstep17.wav,17,0,703,11,2,Early
Subject002,aam,asee_shstep17.wav,17,0,682,14,3,Early
Subject002,aam,asee_shstep17.wav,17,0,667,23,4,Early
Subject002,aam,asee_shstep17.wav,17,0,617,24,5,Early
Subject002,aam,asee_shstep17.wav,17,0,713,28,6,Late
Subject002,aam,asee_shstep17.wav,17,0,715,40,7,Late
Subject002,aam,asee_shstep17.wav,17,0,601,51,8,Late
