subject,condition,word,wordType,grammarType,trial,nounAnswer,nounAnswer2,rt
Subject001,bam,family,filler,noun,1,1,noun,1336
Subject001,bam,yell,filler,notnoun,10,0,notnoun,1372
Subject001,bam,hidden,filler,notnoun,11,0,notnoun,2605
Subject001,bam,addressstep12,critical,noun,12,1,noun,1675
Subject001,bam,failure,filler,noun,14,1,noun,2611
Subject001,bam,degree,filler,noun,15,1,noun,1697
Subject001,bam,weekly,filler,notnoun,16,0,notnoun,3222
Subject001,bam,human,filler,noun,17,1,noun,3302
Subject001,bam,nervousstep13,critical,notnoun,18,0,notnoun,2592
Subject001,bam,recover,filler,notnoun,19,0,notnoun,3149
Subject001,bam,coliseumstep9,critical,noun,2,1,noun,1525
Subject001,bam,immune,filler,notnoun,20,0,notnoun,2448
Subject001,bam,pineapple,filler,noun,22,1,noun,1309
Subject001,bam,relate,filler,notnoun,23,0,notnoun,1537
Subject001,bam,embody,filler,notnoun,25,0,notnoun,1796
Subject001,bam,tennesseestep11,critical,noun,26,1,noun,1835
Subject001,bam,energy,filler,noun,27,1,noun,2166
Subject001,bam,omelet,filler,noun,28,1,noun,1404
Subject001,bam,document,filler,noun,29,1,noun,1127
Subject001,bam,engine,filler,noun,3,1,noun,1199
Subject001,bam,around,filler,notnoun,30,0,notnoun,1321
Subject001,bam,marina,filler,noun,31,1,noun,1784
Subject001,bam,dinosaurstep8,critical,noun,32,1,noun,1740
Subject001,bam,enroll,filler,notnoun,33,1,noun,1150
Subject001,bam,america,filler,noun,34,1,noun,1484
Subject001,bam,beauty,filler,noun,35,1,noun,1250
Subject001,bam,harmful,filler,notnoun,36,1,noun,1397
Subject001,bam,tobacco,filler,noun,37,1,noun,1530
Subject001,bam,dragon,filler,noun,38,1,noun,1188
Subject001,bam,umbrella,filler,noun,39,1,noun,1194
Subject001,bam,brain,filler,noun,4,1,noun,1306
Subject001,bam,alone,filler,notnoun,40,0,notnoun,1056
Subject001,bam,grapple,filler,notnoun,41,1,noun,1105
Subject001,bam,announcementstep8,critical,noun,43,1,noun,2186
Subject001,bam,tutorial,filler,noun,44,1,noun,1571
Subject001,bam,freeze,filler,notnoun,45,0,notnoun,2896
Subject001,bam,grammatical,filler,notnoun,46,0,notnoun,1798
Subject001,bam,honeymoon,filler,noun,47,1,noun,1698
Subject001,bam,utensilstep10,critical,noun,48,1,noun,1757
Subject001,bam,embassystep11,critical,noun,49,1,noun,2480
Subject001,bam,military,filler,noun,5,1,noun,1880
Subject001,bam,romantic,filler,notnoun,50,0,notnoun,1535
Subject001,bam,regular,filler,notnoun,51,0,notnoun,2894
Subject001,bam,camera,filler,noun,52,1,noun,1357
Subject001,bam,miraculousstep10,critical,notnoun,53,0,notnoun,1877
Subject001,bam,fumble,filler,notnoun,54,0,notnoun,1991
Subject001,bam,embracestep9,critical,notnoun,56,0,notnoun,2235
Subject001,bam,vibrant,filler,notnoun,57,0,notnoun,1695
Subject001,bam,mineral,filler,noun,58,1,noun,1463
Subject001,bam,eternal,filler,notnoun,59,0,notnoun,1906
Subject001,bam,wrinkle,filler,noun,6,1,noun,4878
Subject001,bam,gullible,filler,notnoun,60,0,notnoun,2145
Subject001,bam,animal,filler,noun,61,1,noun,1533
Subject001,bam,annoying,filler,notnoun,62,0,notnoun,1525
Subject001,bam,parrot,filler,noun,63,1,noun,1568
Subject001,bam,immoral,filler,notnoun,64,0,notnoun,1390
Subject001,bam,global,filler,notnoun,65,0,notnoun,3354
Subject001,bam,hallucinatestep8,critical,notnoun,66,0,notnoun,2559
Subject001,bam,guilty,filler,notnoun,67,0,notnoun,1539
Subject001,bam,remind,filler,notnoun,68,0,notnoun,1875
Subject001,bam,totally,filler,notnoun,69,0,notnoun,2048
Subject001,bam,parable,filler,noun,7,1,noun,2279
Subject001,bam,malpracticestep10,critical,noun,70,0,notnoun,1577
Subject001,bam,embarassingstep9,critical,notnoun,71,0,notnoun,2268
Subject001,bam,warrantee,filler,noun,73,1,noun,1694
Subject001,bam,felony,filler,noun,74,1,noun,1233
Subject001,bam,rehearsalstep8,critical,noun,75,1,noun,2772
Subject001,bam,image,filler,noun,76,1,noun,1219
Subject001,bam,occupy,filler,notnoun,77,0,notnoun,1647
Subject001,bam,appear,filler,notnoun,78,0,notnoun,1290
Subject001,bam,momentary,filler,notnoun,79,0,notnoun,2690
Subject001,bam,remedial,filler,notnoun,8,1,noun,1295
Subject001,bam,hamburger,filler,noun,80,1,noun,1370
Subject001,bam,arkansasstep10,critical,noun,81,1,noun,1347
Subject001,bam,develop,filler,notnoun,82,0,notnoun,1473
Subject001,bam,opaque,filler,notnoun,83,0,notnoun,2147
Subject001,bam,manually,filler,notnoun,84,0,notnoun,4970
Subject001,bam,lawyer,filler,noun,85,1,noun,1557
Subject001,bam,garden,filler,noun,87,1,noun,1321
Subject001,bam,arthritisstep8,critical,noun,88,1,noun,2011
Subject001,bam,peninsulastep11,critical,noun,89,1,noun,1118
Subject001,bam,kidnap,filler,notnoun,9,0,notnoun,2920
Subject001,bam,evolve,filler,notnoun,90,1,noun,1995
Subject001,bam,ballerina,filler,noun,91,1,noun,1293
Subject001,bam,avenue,filler,noun,92,1,noun,1405
Subject001,bam,eraserstep8,critical,noun,93,1,noun,1335
Subject001,bam,overcome,filler,notnoun,94,0,notnoun,1603
Subject001,bam,become,filler,notnoun,95,0,notnoun,1385
Subject001,bam,depend,filler,notnoun,96,0,notnoun,1094
Subject001,bam,unique,filler,notnoun,97,0,notnoun,1287
Subject001,bam,homogeneousstep11,critical,notnoun,98,0,notnoun,1602
Subject001,bam,ignore,filler,notnoun,99,0,notnoun,1425
Subject001,bam,bakery,filler,noun,0,1,noun,2754
Subject002,aam,document,filler,noun,1,1,noun,2017
Subject002,aam,fumble,filler,notnoun,10,0,notnoun,1422
Subject002,aam,pineapple,filler,noun,11,1,noun,1600
Subject002,aam,wrinkle,filler,noun,12,0,notnoun,1215
Subject002,aam,depend,filler,notnoun,13,0,notnoun,1666
Subject002,aam,harmful,filler,notnoun,14,0,notnoun,1319
Subject002,aam,omelet,filler,noun,15,1,noun,1096
Subject002,aam,embody,filler,notnoun,16,0,notnoun,1457
Subject002,aam,degree,filler,noun,17,1,noun,1393
