subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,5,1,Early,1,1349,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,6,2,Early,1,1329,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,19,3,Early,1,1371,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,27,4,Early,1,1168,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,32,5,Early,1,1178,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,34,6,Late,1,1290,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,36,7,Late,1,1138,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,39,8,Late,1,1158,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,42,9,Late,1,1156,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep5.wav,step05,50,10,Late,1,1105,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,13,1,Early,1,1193,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,20,2,Early,1,1330,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,22,3,Early,1,1718,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,26,4,Early,1,1216,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,28,5,Early,1,1118,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,30,6,Late,1,1168,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,55,7,Late,1,1140,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,56,8,Late,1,1123,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,62,9,Late,1,979,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep7.wav,step07,65,10,Late,1,1398,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep9.wav,step09,3,1,Early,0,1427,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep9.wav,step09,7,2,Early,1,1232,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep9.wav,step09,16,3,Early,0,1625,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep9.wav,step09,17,4,Early,0,1335,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep9.wav,step09,25,5,Early,1,1311,Female,yes,english,Over-the-ear headphones (cost $30 or less)
