subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
Subject001,1010subject156,bam,asee_shstep7.wav,step07,58,8,Late,1,1219,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,37,5,Early,1,1277,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,40,6,Late,1,910,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,55,7,Late,1,1264,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,65,9,Late,1,950,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,66,10,Late,1,1077,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,1,1,Early,1,2309,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,2,2,Early,1,1501,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,21,3,Early,1,1879,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,26,4,Early,1,1175,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,17,1,Early,1,1864,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,19,2,Early,0,1122,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,23,3,Early,1,1168,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,25,4,Early,1,1450,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,29,5,Early,1,983,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,44,6,Late,1,1112,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,45,7,Late,1,1139,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep5.wav,step05,54,8,Late,1,1123,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,57,8,Late,1,1014,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,67,9,Late,0,1012,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,69,10,Late,0,932,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,5,1,Early,0,2487,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,6,2,Early,1,1900,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,22,3,Early,0,2049,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,28,4,Early,0,1529,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,30,5,Early,0,1554,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,34,6,Late,0,1504,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,43,7,Late,1,1496,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,46,8,Late,0,1171,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,60,9,Late,1,957,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep7.wav,step07,68,10,Late,1,988,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,4,1,Early,0,2162,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,7,2,Early,0,1284,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,18,3,Early,0,1069,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,20,4,Early,1,1394,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,24,5,Early,0,3683,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,38,6,Late,1,1143,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,42,7,Late,1,1159,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,49,8,Late,0,1238,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,62,9,Late,1,966,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep9.wav,step09,63,10,Late,1,1189,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,0,1,Early,1,4028,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,8,2,Early,0,2138,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,9,3,Early,0,1280,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,14,4,Early,0,1647,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,31,5,Early,1,1852,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,36,6,Late,1,1597,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,47,7,Late,0,903,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,50,8,Late,0,1187,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,53,9,Late,0,1189,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep11.wav,step11,64,10,Late,0,1002,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,11,1,Early,0,1640,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,12,2,Early,0,2021,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,13,3,Early,0,1541,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,16,4,Early,0,1005,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,27,5,Early,1,1182,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,32,6,Late,0,1306,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep13.wav,step13,41,7,Late,1,1112,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,3,1,Early,0,2151,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,10,2,Early,0,2208,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,15,3,Early,0,1321,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,33,4,Early,0,1204,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,35,5,Early,1,2306,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,39,6,Late,0,1034,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,51,7,Late,0,1078,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,56,8,Late,0,1037,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,59,9,Late,0,915,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep17.wav,step17,61,10,Late,0,850,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,48,9,Late,0,951,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,asee_shstep15.wav,step15,52,10,Late,0,816,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,63,9,Late,1,897,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,60,9,Late,1,721,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,64,10,Late,1,627,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,17,1,Early,1,926,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,30,2,Early,1,815,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,32,3,Early,1,827,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,33,4,Early,1,858,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,38,5,Early,0,887,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,43,6,Late,1,782,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,46,7,Late,1,806,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,62,8,Late,1,607,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,3,2,Early,0,745,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,5,3,Early,0,649,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,13,4,Early,1,1222,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,15,5,Early,0,801,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,16,6,Late,0,711,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,20,7,Late,1,672,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,39,8,Late,0,761,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,44,9,Late,0,782,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,56,10,Late,1,696,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,4,1,Early,0,762,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,8,2,Early,0,790,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,18,3,Early,0,818,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,29,4,Early,0,865,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,31,5,Early,0,816,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,42,6,Late,0,1561,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,50,7,Late,0,706,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,53,8,Late,0,1663,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,57,9,Late,0,689,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep15.wav,step15,66,10,Late,0,632,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,1,1,Early,0,761,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,11,2,Early,0,703,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,14,3,Early,0,682,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,23,4,Early,0,667,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,24,5,Early,0,617,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,28,6,Late,0,713,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,40,7,Late,0,715,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,51,8,Late,0,601,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,54,9,Late,0,832,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep9.wav,step09,65,10,Late,1,561,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,7,1,Early,0,1697,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,25,2,Early,0,504,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,41,3,Early,1,760,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,47,4,Early,1,1003,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,52,5,Early,1,830,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,55,6,Late,1,763,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,59,7,Late,1,778,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,67,8,Late,0,559,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,68,9,Late,0,480,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep11.wav,step11,69,10,Late,1,546,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep13.wav,step13,2,1,Early,0,703,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,9,1,Early,1,776,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,10,2,Early,1,758,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,26,3,Early,1,698,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,27,4,Early,1,697,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,34,5,Early,1,1089,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,35,6,Late,1,713,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,37,7,Late,1,616,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,48,8,Late,1,894,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,49,9,Late,1,818,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep5.wav,step05,61,10,Late,1,641,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,0,1,Early,1,1487,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,6,2,Early,1,688,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,12,3,Early,1,762,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,19,4,Early,1,786,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,21,5,Early,1,738,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,22,6,Late,1,674,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,36,7,Late,1,823,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep7.wav,step07,45,8,Late,1,906,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,asee_shstep17.wav,step17,58,10,Late,0,730,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject003,1010subject552,bam,asee_shstep17.wav,step17,65,10,Late,0,962,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep9.wav,step09,69,10,Late,0,822,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep11.wav,step11,15,1,Early,1,943,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep11.wav,step11,22,3,Early,1,1071,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,asee_shstep11.wav,step11,32,4,Early,0,943,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
