subject,id,condition,word,trial,nounAnswer,rt,grammarType,wordType,sex,hearing,lang,equip
Subject001,1010subject156,bam,family,1,1,1336,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,yell,10,0,1372,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,hidden,11,0,2605,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,addressstep12,12,1,1675,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,ironic,13,1,5343,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,failure,14,1,2611,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,degree,15,1,1697,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,weekly,16,0,3222,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,human,17,1,3302,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,nervousstep13,18,0,2592,notnoun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,recover,19,0,3149,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,coliseumstep9,2,1,1525,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,immune,20,0,2448,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,typical,21,0,6851,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,pineapple,22,1,1309,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,relate,23,0,1537,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,anemia,24,1,7858,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,embody,25,0,1796,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,tennesseestep11,26,1,1835,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,energy,27,1,2166,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,omelet,28,1,1404,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,document,29,1,1127,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,engine,3,1,1199,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,around,30,0,1321,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,marina,31,1,1784,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,dinosaurstep8,32,1,1740,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,enroll,33,1,1150,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,america,34,1,1484,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,beauty,35,1,1250,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,harmful,36,1,1397,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,tobacco,37,1,1530,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,dragon,38,1,1188,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,umbrella,39,1,1194,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
