,subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
1,Subject001,1010subject156,bam,asee_shstep7.wav,7,58,8,Late,1,1219,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
2,Subject001,1010subject156,bam,asee_shstep7.wav,7,37,5,Early,1,1277,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
3,Subject001,1010subject156,bam,asee_shstep7.wav,7,40,6,Late,1,910,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
4,Subject001,1010subject156,bam,asee_shstep7.wav,7,55,7,Late,1,1264,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
5,Subject001,1010subject156,bam,asee_shstep5.wav,5,65,9,Late,1,950,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
6,Subject001,1010subject156,bam,asee_shstep5.wav,5,66,10,Late,1,1077,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
7,Subject001,1010subject156,bam,asee_shstep7.wav,7,1,1,Early,1,2309,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
8,Subject001,1010subject156,bam,asee_shstep7.wav,7,2,2,Early,1,1501,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
9,Subject001,1010subject156,bam,asee_shstep7.wav,7,21,3,Early,1,1879,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
10,Subject001,1010subject156,bam,asee_shstep7.wav,7,26,4,Early,1,1175,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
11,Subject001,1010subject156,bam,asee_shstep5.wav,5,17,1,Early,1,1864,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
12,Subject001,1010subject156,bam,asee_shstep5.wav,5,19,2,Early,0,1122,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
13,Subject001,1010subject156,bam,asee_shstep5.wav,5,23,3,Early,1,1168,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
14,Subject001,1010subject156,bam,asee_shstep5.wav,5,25,4,Early,1,1450,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
15,Subject001,1010subject156,bam,asee_shstep5.wav,5,29,5,Early,1,983,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
16,Subject001,1010subject156,bam,asee_shstep5.wav,5,44,6,Late,1,1112,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
17,Subject001,1010subject156,bam,asee_shstep5.wav,5,45,7,Late,1,1139,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
18,Subject001,1010subject156,bam,asee_shstep5.wav,5,54,8,Late,1,1123,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
