"","subject","condition","audio","step","sAnswer","rt","stepRepetition","trial","phase"
"71","AAM02","AAM","asee_shstep05",5,1,1010,1,4,"Early"
"72","AAM02","AAM","asee_shstep07",7,0,720,1,2,"Early"
"73","AAM02","AAM","asee_shstep09",9,0,1755,1,6,"Early"
"74","AAM02","AAM","asee_shstep11",11,0,801,1,5,"Early"
"75","AAM02","AAM","asee_shstep13",13,0,2682,1,3,"Early"
"76","AAM02","AAM","asee_shstep15",15,0,881,1,1,"Early"
"77","AAM02","AAM","asee_shstep17",17,0,1840,1,0,"Early"
"78","AAM02","AAM","asee_shstep05",5,1,1238,2,6,"Early"
"79","AAM02","AAM","asee_shstep07",7,1,654,2,1,"Early"
"80","AAM02","AAM","asee_shstep09",9,1,737,2,3,"Early"
"81","AAM02","AAM","asee_shstep11",11,0,684,2,4,"Early"
"82","AAM02","AAM","asee_shstep13",13,0,708,2,5,"Early"
"83","AAM02","AAM","asee_shstep15",15,0,601,2,2,"Early"
"84","AAM02","AAM","asee_shstep17",17,0,713,2,0,"Early"
"85","AAM02","AAM","asee_shstep05",5,1,562,3,6,"Early"
"86","AAM02","AAM","asee_shstep07",7,1,1040,3,1,"Early"
"87","AAM02","AAM","asee_shstep09",9,0,877,3,3,"Early"
"88","AAM02","AAM","asee_shstep11",11,0,604,3,2,"Early"
"89","AAM02","AAM","asee_shstep13",13,0,781,3,5,"Early"
"90","AAM02","AAM","asee_shstep15",15,0,687,3,0,"Early"
"91","AAM02","AAM","asee_shstep17",17,0,732,3,4,"Early"
"92","AAM02","AAM","asee_shstep05",5,1,645,4,0,"Early"
"93","AAM02","AAM","asee_shstep07",7,1,793,4,5,"Early"
"94","AAM02","AAM","asee_shstep09",9,1,997,4,2,"Early"
"95","AAM02","AAM","asee_shstep11",11,0,567,4,3,"Early"
"96","AAM02","AAM","asee_shstep13",13,0,690,4,1,"Early"
"97","AAM02","AAM","asee_shstep15",15,0,579,4,6,"Early"
"98","AAM02","AAM","asee_shstep17",17,0,522,4,4,"Early"
"99","AAM02","AAM","asee_shstep05",5,1,489,5,4,"Early"
"100","AAM02","AAM","asee_shstep07",7,1,1086,5,0,"Early"
"101","AAM02","AAM","asee_shstep09",9,1,652,5,5,"Early"
"102","AAM02","AAM","asee_shstep11",11,0,593,5,3,"Early"
"103","AAM02","AAM","asee_shstep13",13,0,739,5,6,"Early"
"104","AAM02","AAM","asee_shstep15",15,0,488,5,2,"Early"
"105","AAM02","AAM","asee_shstep17",17,0,546,5,1,"Early"
"106","AAM02","AAM","asee_shstep05",5,1,685,6,1,"Late"
"107","AAM02","AAM","asee_shstep07",7,1,683,6,0,"Late"
"108","AAM02","AAM","asee_shstep09",9,1,736,6,4,"Late"
"109","AAM02","AAM","asee_shstep11",11,0,759,6,3,"Late"
"110","AAM02","AAM","asee_shstep13",13,0,648,6,6,"Late"
"111","AAM02","AAM","asee_shstep15",15,0,664,6,2,"Late"
"112","AAM02","AAM","asee_shstep17",17,0,799,6,5,"Late"
"113","AAM02","AAM","asee_shstep05",5,1,1086,7,2,"Late"
"114","AAM02","AAM","asee_shstep07",7,1,631,7,3,"Late"
"115","AAM02","AAM","asee_shstep09",9,1,924,7,0,"Late"
"116","AAM02","AAM","asee_shstep11",11,1,1014,7,6,"Late"
"117","AAM02","AAM","asee_shstep13",13,0,692,7,5,"Late"
"118","AAM02","AAM","asee_shstep15",15,0,664,7,4,"Late"
"119","AAM02","AAM","asee_shstep17",17,0,551,7,1,"Late"
"120","AAM02","AAM","asee_shstep05",5,1,1430,8,1,"Late"
"121","AAM02","AAM","asee_shstep07",7,1,853,8,4,"Late"
"122","AAM02","AAM","asee_shstep09",9,0,1724,8,2,"Late"
"123","AAM02","AAM","asee_shstep11",11,0,792,8,3,"Late"
"124","AAM02","AAM","asee_shstep13",13,0,700,8,0,"Late"
"125","AAM02","AAM","asee_shstep15",15,0,655,8,5,"Late"
"126","AAM02","AAM","asee_shstep17",17,0,743,8,6,"Late"
"127","AAM02","AAM","asee_shstep05",5,1,842,9,5,"Late"
"128","AAM02","AAM","asee_shstep07",7,1,1663,9,4,"Late"
"129","AAM02","AAM","asee_shstep09",9,1,537,9,2,"Late"
"130","AAM02","AAM","asee_shstep11",11,0,658,9,1,"Late"
