"","Subject","Condition","word","wordType","grammarType","trial","nounAnswer","nounAnswer2","accuracy","rt"
"101","AAM02","AAM","acerbicstep12","critical","notNoun",84,0,"notNoun",1,1791
"102","AAM02","AAM","alone","filler","notNoun",55,0,"notNoun",1,1302
"103","AAM02","AAM","america","filler","noun",48,1,"noun",1,1593
"104","AAM02","AAM","anemia","filler","noun",1,0,"notNoun",0,1082
"105","AAM02","AAM","animal","filler","noun",59,1,"noun",1,686
"106","AAM02","AAM","annoying","filler","notNoun",24,0,"notNoun",1,873
"107","AAM02","AAM","appear","filler","notNoun",88,0,"notNoun",1,932
"108","AAM02","AAM","around","filler","notNoun",82,0,"notNoun",1,811
"109","AAM02","AAM","avenue","filler","noun",32,0,"notNoun",0,1747
"110","AAM02","AAM","bakery","filler","noun",57,1,"noun",1,855
"111","AAM02","AAM","ballerina","filler","noun",21,1,"noun",1,717
"112","AAM02","AAM","basementstep11","critical","noun",25,1,"noun",1,746
"113","AAM02","AAM","beauty","filler","noun",4,0,"notNoun",0,2411
"114","AAM02","AAM","become","filler","notNoun",13,0,"notNoun",1,1631
"115","AAM02","AAM","brain","filler","noun",69,1,"noun",1,1239
"116","AAM02","AAM","camera","filler","noun",6,1,"noun",1,788
"117","AAM02","AAM","casserolestep12","critical","noun",86,1,"noun",1,1182
"118","AAM02","AAM","ciderstep9","critical","noun",94,0,"notNoun",0,1965
"119","AAM02","AAM","degree","filler","noun",30,1,"noun",1,1555
"120","AAM02","AAM","depend","filler","notNoun",76,0,"notNoun",1,2010
"121","AAM02","AAM","develop","filler","notNoun",81,0,"notNoun",1,1084
"122","AAM02","AAM","document","filler","noun",20,1,"noun",1,2175
"123","AAM02","AAM","dragon","filler","noun",99,1,"noun",1,865
"124","AAM02","AAM","embody","filler","notNoun",75,0,"notNoun",1,1137
"125","AAM02","AAM","energy","filler","noun",58,0,"notNoun",0,922
"126","AAM02","AAM","engine","filler","noun",70,1,"noun",1,967
"127","AAM02","AAM","enroll","filler","notNoun",80,0,"notNoun",1,911
"128","AAM02","AAM","eternal","filler","notNoun",78,0,"notNoun",1,1209
"129","AAM02","AAM","evolve","filler","notNoun",15,0,"notNoun",1,1152
"130","AAM02","AAM","failure","filler","noun",33,0,"notNoun",0,1393
"131","AAM02","AAM","family","filler","noun",27,1,"noun",1,1031
"132","AAM02","AAM","felony","filler","noun",74,0,"notNoun",0,1068
"133","AAM02","AAM","freeze","filler","notNoun",98,0,"notNoun",1,1449
"134","AAM02","AAM","fumble","filler","notNoun",42,0,"notNoun",1,1223
"135","AAM02","AAM","garden","filler","noun",68,1,"noun",1,1230
